#Mini MPD Rad MJ_2M MH_2M MK_2M MZ087 MW146 MF213 MHw JH JKs HKs medianJ medianH medianKs sigmaJ sigmaH sigmaKs maxJ maxH maxKs minJ minH minKs medianJH medianJKs medianHKs sigmaJH sigmaJKs sigmaHKs maxJH maxJKs maxHKs minJH minJKs minHKs counts
1.019  1.018  1.73  2.456  2.13  2.08  2.86  2.419  2.082  2.382  0.326  0.376  0.05  -1.016  -1.522  -1.61  2.239  2.399  2.47  2.607  2.328  2.287  -5.601  -6.52  -6.864  0.576  0.663  0.088  0.169  0.245  0.08  0.897  1.196  0.3  0.27  0.309  0.039  102.0
1.024  1.022  1.833  2.389  2.038  1.983  2.818  2.345  1.985  2.309  0.351  0.406  0.055  -1.456  -2.04  -2.136  2.603  2.789  2.892  2.47  2.11  2.058  -5.851  -6.794  -7.202  0.603  0.702  0.1  0.192  0.302  0.113  0.935  1.323  0.388  0.263  0.3  0.037  150.0
1.026  1.024  1.916  2.352  1.975  1.916  2.807  2.301  1.918  2.266  0.377  0.436  0.059  -2.967  -3.641  -3.785  2.5  2.678  2.761  2.529  2.188  2.135  -5.668  -6.619  -6.963  0.703  0.866  0.159  0.182  0.27  0.09  0.944  1.267  0.325  0.268  0.306  0.038  163.0
1.028  1.027  2.016  2.313  1.905  1.84  2.797  2.252  1.843  2.219  0.408  0.473  0.065  -0.942  -1.474  -1.559  2.341  2.495  2.552  2.86  2.532  2.478  -5.475  -6.399  -6.69  0.541  0.628  0.087  0.16  0.22  0.063  0.889  1.147  0.258  0.274  0.314  0.04  106.0
1.03  1.029  2.15  2.24  1.801  1.732  2.754  2.169  1.735  2.138  0.439  0.508  0.069  -1.88  -2.501  -2.612  2.575  2.76  2.867  2.412  2.051  2.003  -5.873  -6.816  -7.225  0.627  0.738  0.113  0.19  0.302  0.116  0.937  1.329  0.392  0.286  0.328  0.042  164.0
1.032  1.03  2.31  2.132  1.671  1.598  2.667  2.054  1.601  2.025  0.461  0.534  0.073  -1.979  -2.631  -2.743  2.183  2.335  2.417  2.27  1.879  1.818  -5.714  -6.625  -7.024  0.654  0.775  0.122  0.158  0.245  0.091  0.9  1.237  0.334  0.288  0.331  0.043  158.0
1.033  1.031  2.385  2.08  1.612  1.538  2.622  1.999  1.541  1.971  0.468  0.542  0.074  -2.978  -3.715  -3.896  2.19  2.35  2.435  1.765  1.265  1.187  -5.714  -6.647  -7.024  0.724  0.904  0.176  0.164  0.253  0.092  0.931  1.269  0.337  0.271  0.31  0.039  210.0
1.034  1.032  2.49  2.0  1.525  1.45  2.547  1.917  1.453  1.89  0.475  0.55  0.075  -2.29  -2.914  -3.024  2.469  2.649  2.741  2.346  1.995  1.941  -5.714  -6.647  -7.024  0.624  0.734  0.11  0.184  0.28  0.1  0.934  1.272  0.339  0.265  0.303  0.038  194.0
1.035  1.033  2.657  1.875  1.393  1.317  2.43  1.79  1.32  1.763  0.482  0.558  0.076  -0.89  -1.452  -1.543  1.285  1.352  1.365  2.643  2.37  2.33  -2.069  -2.724  -2.835  0.553  0.65  0.088  0.077  0.091  0.014  0.62  0.715  0.103  0.265  0.303  0.038  99.0
1.036  1.034  2.815  1.762  1.274  1.197  2.323  1.675  1.2  1.648  0.488  0.565  0.077  -3.944  -4.747  -4.943  2.278  2.441  2.559  1.363  0.851  0.768  -6.044  -6.989  -7.45  0.805  1.03  0.222  0.166  0.288  0.127  0.939  1.377  0.441  0.273  0.312  0.039  305.0
1.037  1.035  3.024  1.62  1.127  1.049  2.186  1.531  1.052  1.505  0.493  0.571  0.078  -4.174  -5.0  -5.226  2.513  2.69  2.808  2.307  1.902  1.84  -6.044  -6.989  -7.45  0.83  1.075  0.242  0.18  0.303  0.129  0.939  1.379  0.442  0.283  0.325  0.042  290.0
1.038  1.036  3.182  1.515  1.017  0.939  2.084  1.424  0.942  1.399  0.498  0.576  0.078  -1.027  -1.652  -1.753  2.222  2.375  2.456  2.723  2.427  2.38  -5.712  -6.623  -7.02  0.621  0.725  0.104  0.159  0.245  0.091  0.889  1.233  0.344  0.283  0.325  0.042  117.0
1.039  1.037  3.362  1.405  0.904  0.825  1.978  1.313  0.828  1.288  0.501  0.58  0.079  -1.816  -2.494  -2.622  2.218  2.376  2.462  2.242  1.852  1.791  -5.712  -6.623  -7.02  0.677  0.806  0.129  0.163  0.254  0.094  0.901  1.243  0.342  0.285  0.328  0.043  142.0
1.04  1.038  3.549  1.295  0.79  0.711  1.872  1.202  0.714  1.177  0.505  0.584  0.079  -0.995  -1.534  -1.625  2.253  2.411  2.5  2.199  1.772  1.696  -5.712  -6.623  -7.02  0.56  0.657  0.098  0.165  0.259  0.097  0.901  1.244  0.342  0.285  0.328  0.043  141.0
